0 23J56 (HighCard, [2, 3, 11, 5, 6])
958 T5555 (FourKind, [10, 5, 5, 5, 5])
959 T5TTT (FourKind, [10, 5, 10, 10, 10])
960 T8888 (FourKind, [10, 8, 8, 8, 8])
961 TTTT4 (FourKind, [10, 10, 10, 10, 4])
962 TTTT7 (FourKind, [10, 10, 10, 10, 7])
963 TTTT8 (FourKind, [10, 10, 10, 10, 8])
964 TTTT9 (FourKind, [10, 10, 10, 10, 9])
965 TTTJT (FourKind, [10, 10, 10, 11, 10])
966 TTKTT (FourKind, [10, 10, 13, 10, 10])
967 TTATT (FourKind, [10, 10, 14, 10, 10])
968 TQTTT (FourKind, [10, 12, 10, 10, 10])
969 J4444 (FourKind, [11, 4, 4, 4, 4])
970 J8888 (FourKind, [11, 8, 8, 8, 8])
971 JQQQQ (FourKind, [11, 12, 12, 12, 12])
972 Q3333 (FourKind, [12, 3, 3, 3, 3])
973 Q4444 (FourKind, [12, 4, 4, 4, 4])
974 Q5555 (FourKind, [12, 5, 5, 5, 5])
975 Q6QQQ (FourKind, [12, 6, 12, 12, 12])
976 Q8888 (FourKind, [12, 8, 8, 8, 8])
977 Q9999 (FourKind, [12, 9, 9, 9, 9])
978 QQ3QQ (FourKind, [12, 12, 3, 12, 12])
979 QQ7QQ (FourKind, [12, 12, 7, 12, 12])
980 QQQQ2 (FourKind, [12, 12, 12, 12, 2])
981 QAQQQ (FourKind, [12, 14, 12, 12, 12])
982 QAAAA (FourKind, [12, 14, 14, 14, 14])
983 K6KKK (FourKind, [13, 6, 13, 13, 13])
984 K7777 (FourKind, [13, 7, 7, 7, 7])
985 K8888 (FourKind, [13, 8, 8, 8, 8])
986 KJKKK (FourKind, [13, 11, 13, 13, 13])
987 KKQKK (FourKind, [13, 13, 12, 13, 13])
988 KKKAK (FourKind, [13, 13, 13, 14, 13])
989 KAAAA (FourKind, [13, 14, 14, 14, 14])
990 A3AAA (FourKind, [14, 3, 14, 14, 14])
991 A6AAA (FourKind, [14, 6, 14, 14, 14])
992 A7777 (FourKind, [14, 7, 7, 7, 7])
993 ATAAA (FourKind, [14, 10, 14, 14, 14])
994 AA4AA (FourKind, [14, 14, 4, 14, 14])
995 AAA8A (FourKind, [14, 14, 14, 8, 14])
996 AAAA5 (FourKind, [14, 14, 14, 14, 5])
997 AAAA7 (FourKind, [14, 14, 14, 14, 7])
998 AAAAJ (FourKind, [14, 14, 14, 14, 11])
999 JJJJJ (FiveKind, [11, 11, 11, 11, 11])
part1 = 250957639
part2 = 0
